filename,R,G,B,H,S,V,contrast,correlation,energy,homogeneity,label
Segar5.jpg,105.10008769132654,142.50480309311226,195.2844786352041,108.56421396683673,116.20599489795919,195.40967793367346,89.8032711402947,0.9802616370420101,0.020361459398828545,0.24146041134132745,segar
Segar6.jpg,77.00153459821429,86.99914301658163,114.85995296556122,111.86756616709184,98.30616230867346,114.96552136479592,92.19066303651505,0.9764500664609173,0.02078016572096627,0.23184620364956585,segar
Segar7.jpg,59.000318877551024,73.43136160714286,109.65961814413265,112.11790497448979,126.25747369260205,109.6596380739796,88.06970691864188,0.9761744685105342,0.038459497814422344,0.33831957706140164,segar
Segar8.jpg,53.36172672193877,74.15603077168367,108.74105149872449,109.2681959502551,123.53834502551021,109.11818399234694,74.60994554772581,0.9730835105334756,0.027811410577635528,0.30659590660299263,segar
Segar9.jpg,77.64455117984694,87.61182637117346,112.20284598214286,110.96169483418367,93.34869260204081,112.24077248086735,84.30821588725176,0.9836360479193271,0.021626691365334894,0.2751901632447145,segar
Segar[1].jpg,144.3427136479592,148.92641900510205,159.10782047193877,106.17414700255102,31.594886001275512,160.3805604272959,62.79974775784754,0.9833634719426416,0.0188677230897088,0.2233305095258497,segar
WhatsApp Image 2026-06-15 at 15.28.02 (1).jpeg,136.24148995535714,153.2842394770408,166.48098692602042,98.6392897002551,48.60190130739796,167.12025669642858,48.82837524023063,0.9859384598450098,0.023631277683004492,0.3071243806158111,segar
1111.jpeg,146.96159518494898,138.75121572066325,133.67133689413265,35.83773118622449,34.273317920918366,149.2171556122449,67.04550368353618,0.9849595459695405,0.01947535072536245,0.2475889688268363,tidak_segar
12333123.jpeg,59.04599808673469,60.07665019132653,64.67101801658163,107.05446827168367,81.14198022959184,66.84054129464286,22.04268097373479,0.9959269195950309,0.06147418924243084,0.34439926128321807,tidak_segar
12333323.jpeg,81.36521444515306,100.34444754464286,125.34715800382654,95.16244818239795,88.14967315051021,127.12507971938776,30.05082879564381,0.9933291000631116,0.02300181193805076,0.30857280531946973,tidak_segar
19250.jpg.jpeg,148.08689413265307,146.95172991071428,150.22098214285714,58.610710299744895,36.13034119897959,157.21645806760205,66.79256085842408,0.9902397867915148,0.021277613528911155,0.29412241862775806,tidak_segar
